actual_price,discounted_price,discount_percentage,count
₹499,199.0,60%,14
₹999,199.0,80%,14
₹999,349.0,65%,11
₹999,399.0,60%,8
₹799,299.0,63%,7
"₹1,099",399.0,64%,7
₹999,299.0,70%,7
₹999,499.0,50%,6
"₹1,299",499.0,62%,6
₹999,99.0,90%,5
"₹1,999",970.0,51%,5
₹599,299.0,50%,5
₹349,199.0,43%,5
₹700,219.0,69%,5
"₹19,999",1799.0,91%,5
"₹1,999",799.0,60%,5
₹999,599.0,40%,4
₹499,179.0,64%,4
₹999,449.0,55%,4
₹399,149.0,63%,4
₹499,209.0,58%,4
"₹19,499",13999.0,28%,4
"₹6,990",1499.0,79%,4
"₹7,990",1999.0,75%,4
₹199,59.0,70%,4
"₹1,599",999.0,38%,4
₹999,649.0,35%,4
"₹1,999",399.0,80%,4
"₹1,199",299.0,75%,4
"₹1,900",899.0,53%,4
"₹1,999",899.0,55%,4
₹399,179.0,55%,4
₹399,249.0,38%,4
"₹2,199",499.0,77%,3
"₹24,999",13999.0,44%,3
"₹20,999",16999.0,19%,3
₹999,549.0,45%,3
"₹1,999",1299.0,35%,3
₹100,90.0,10%,3
"₹2,100",799.0,62%,3
"₹17,999",12999.0,28%,3
₹299,229.0,23%,3
₹299,119.0,60%,3
"₹11,999",8999.0,25%,3
"₹1,099",379.0,66%,3
"₹1,299",349.0,73%,3
"₹2,899",999.0,66%,3
"₹18,999",12999.0,32%,3
₹699,199.0,72%,3
₹499,176.63,65%,3
₹399,154.0,61%,3
₹399,199.0,50%,3
₹399,159.0,60%,3
₹499,249.0,50%,3
₹499,279.0,44%,3
₹499,299.0,40%,3
"₹5,999",2499.0,58%,3
₹339,154.0,55%,3
₹599,349.0,42%,3
₹599,599.0,0%,3
₹399,349.0,13%,3
"₹3,999",1799.0,55%,3
₹699,263.0,62%,3
₹699,299.0,57%,3
₹699,329.0,53%,3
₹499,99.0,80%,3
"₹7,990",2999.0,62%,3
"₹7,999",1499.0,81%,3
"₹1,599",1299.0,19%,3
₹799,179.0,78%,3
"₹1,799",970.0,46%,3
₹799,499.0,38%,3
"₹8,999",6499.0,28%,3
₹899,349.0,61%,3
"₹9,999",1999.0,80%,3
"₹9,999",2199.0,78%,3
"₹1,999",949.0,53%,3
₹499,115.0,77%,3
₹999,249.0,75%,3
"₹2,999",1499.0,50%,3
"₹1,000",149.0,85%,3
"₹1,899",1099.0,42%,3
₹999,379.0,62%,3
₹899,350.0,61%,3
"₹1,630",1399.0,14%,2
"₹2,499",1049.0,58%,2
₹160,157.0,2%,2
"₹29,999",21999.0,27%,2
"₹1,399",599.0,57%,2
"₹11,999",9499.0,21%,2
"₹1,995",1495.0,25%,2
"₹24,999",4999.0,80%,2
"₹1,490",664.0,55%,2
"₹24,999",16999.0,32%,2
"₹3,500",1499.0,57%,2
"₹18,999",15499.0,18%,2
"₹3,999",1499.0,63%,2
"₹3,999",1599.0,60%,2
₹999,333.0,67%,2
"₹20,990",15490.0,26%,2
₹349,154.0,56%,2
"₹2,199",1149.0,48%,2
₹39,39.0,0%,2
₹395,199.0,50%,2
₹120,120.0,0%,2
"₹1,499",299.0,80%,2
"₹1,999",549.0,73%,2
"₹1,499",348.0,77%,2
₹999,699.0,30%,2
"₹1,499",349.0,77%,2
₹399,299.0,25%,2
"₹1,499",379.0,75%,2
"₹4,999",1499.0,70%,2
"₹4,999",1599.0,68%,2
"₹4,999",1999.0,60%,2
"₹4,999",2499.0,50%,2
"₹42,999",26999.0,37%,2
₹499,95.0,81%,2
"₹1,499",399.0,73%,2
"₹3,990",799.0,80%,2
₹499,149.0,70%,2
"₹1,699",1324.0,22%,2
"₹1,999",599.0,70%,2
"₹1,099",389.0,65%,2
"₹1,999",649.0,68%,2
"₹2,199",1199.0,45%,2
₹250,250.0,0%,2
₹499,293.0,41%,2
"₹20,999",15499.0,26%,2
"₹5,999",1299.0,78%,2
"₹5,999",2099.0,65%,2
"₹1,499",719.0,52%,2
"₹5,999",2998.0,50%,2
₹599,249.0,58%,2
"₹2,499",1799.0,28%,2
"₹1,499",1099.0,27%,2
"₹28,999",28999.0,0%,2
"₹6,295",3249.0,48%,2
"₹1,199",699.0,42%,2
"₹6,990",1799.0,74%,2
"₹6,999",2599.0,63%,2
₹666.66,99.0,85%,2
₹695,209.0,70%,2
"₹1,999",999.0,50%,2
₹200,116.0,42%,2
"₹1,208",507.0,58%,2
"₹14,999",10999.0,27%,2
₹699,349.0,50%,2
₹699,368.0,47%,2
₹699,399.0,43%,2
"₹1,999",1599.0,20%,2
"₹7,990",2299.0,71%,2
"₹21,990",13490.0,39%,2
"₹1,899",199.0,90%,2
"₹1,899",499.0,74%,2
₹750,199.0,73%,2
₹149,149.0,0%,2
"₹1,290",399.0,69%,2
₹799,399.0,50%,2
"₹19,999",13999.0,30%,2
₹249,139.0,44%,2
₹800,99.0,88%,2
₹800,269.0,66%,2
₹845,329.0,61%,2
₹849,599.0,29%,2
₹899,299.0,67%,2
"₹1,299",325.0,75%,2
"₹2,990",1399.0,53%,2
₹899,399.0,56%,2
₹899,499.0,44%,2
₹899,599.0,33%,2
"₹9,999",1998.0,80%,2
"₹29,990",20999.0,30%,2
"₹1,599",699.0,56%,2
"₹9,999",2499.0,75%,2
"₹9,999",2999.0,70%,2
"₹9,999",5999.0,40%,2
₹99,99.0,0%,2
"₹1,299",599.0,54%,2
₹999,120.0,88%,2
₹999,139.0,86%,2
₹999,149.0,85%,2
"₹15,999",13999.0,13%,2
"₹22,900",13490.0,41%,2
₹299,199.0,33%,2
₹999,329.0,67%,2
"₹1,000",569.0,43%,2
"₹1,600",369.0,77%,2
₹999,339.0,66%,2
"₹2,999",1999.0,33%,2
"₹2,000",1199.0,40%,2
"₹16,999",3999.0,76%,2
"₹1,500",354.0,76%,1
"₹1,500",475.0,68%,1
"₹1,500",609.0,59%,1
"₹1,500",689.0,54%,1
"₹1,500",799.0,47%,1
"₹1,500",999.0,33%,1
"₹1,500",1099.0,27%,1
"₹1,500",1500.0,0%,1
"₹1,545",809.0,48%,1
"₹1,545",1321.0,14%,1
"₹1,547",770.0,50%,1
"₹1,549",1399.0,10%,1
"₹1,560",999.0,36%,1
"₹1,595",699.0,56%,1
"₹1,599",235.0,85%,1
"₹1,599",469.0,71%,1
"₹1,599",539.0,66%,1
"₹1,599",784.0,51%,1
"₹1,599",899.0,44%,1
"₹1,599",950.0,41%,1
"₹1,599",1110.0,31%,1
"₹1,599",1234.0,23%,1
"₹1,600",649.0,59%,1
"₹1,600",1089.0,32%,1
"₹1,620",948.0,41%,1
"₹1,639",1409.0,14%,1
"₹1,645",1295.0,21%,1
"₹1,650",729.0,56%,1
"₹1,650",1464.0,11%,1
"₹1,690",699.0,59%,1
"₹1,690",1199.0,29%,1
"₹1,695",1199.0,29%,1
"₹1,695",1490.0,12%,1
"₹1,695",1695.0,0%,1
"₹1,699",799.0,53%,1
"₹1,699",873.0,49%,1
"₹1,699",999.0,41%,1
"₹1,699",1049.0,38%,1
"₹1,699",1069.0,37%,1
"₹1,699",1075.0,37%,1
"₹1,699",1149.0,32%,1
"₹1,699",1219.0,28%,1
"₹1,699",1260.0,26%,1
"₹1,700",799.0,53%,1
"₹1,745",1614.0,8%,1
"₹1,749",799.0,54%,1
"₹1,750",1345.0,23%,1
"₹1,775",1499.0,16%,1
"₹1,790",1052.0,41%,1
"₹1,795",1099.0,39%,1
"₹1,795",1199.0,33%,1
"₹1,795",1295.0,28%,1
"₹1,799",474.0,74%,1
"₹1,799",549.0,69%,1
"₹1,799",749.0,58%,1
"₹1,799",1595.0,11%,1
"₹1,800",599.0,67%,1
"₹1,800",899.0,50%,1
"₹1,800",939.0,48%,1
"₹1,800",959.0,47%,1
"₹1,800",1149.0,36%,1
"₹1,809",849.0,53%,1
"₹1,850",1349.0,27%,1
"₹1,890",1399.0,26%,1
"₹1,899",599.0,68%,1
"₹1,899",699.0,63%,1
"₹1,899",1149.0,39%,1
"₹1,899",1199.0,37%,1
"₹1,899",1519.0,20%,1
"₹1,900",299.0,84%,1
"₹1,900",1199.0,37%,1
"₹1,900",1699.0,11%,1
"₹1,920",1099.0,43%,1
"₹1,929",1187.0,38%,1
"₹1,949",398.0,80%,1
"₹1,950",809.0,59%,1
"₹1,950",999.0,49%,1
"₹1,950",1049.0,46%,1
"₹1,950",1199.0,39%,1
"₹1,950",1799.0,8%,1
"₹1,975",1699.0,14%,1
"₹1,989",799.0,60%,1
"₹1,990",899.0,55%,1
"₹1,990",1099.0,45%,1
"₹1,990",1490.0,25%,1
"₹1,995",798.0,60%,1
"₹1,995",999.0,50%,1
"₹1,999",199.0,90%,1
"₹1,999",281.0,86%,1
"₹1,999",339.0,83%,1
"₹1,999",349.0,83%,1
"₹1,999",398.0,80%,1
"₹1,999",479.0,76%,1
"₹1,999",486.0,76%,1
"₹1,999",489.0,76%,1
"₹1,999",499.0,75%,1
"₹1,999",689.0,66%,1
"₹1,999",709.0,65%,1
"₹1,999",759.0,62%,1
"₹1,999",789.0,61%,1
"₹1,999",790.0,60%,1
"₹1,999",889.0,56%,1
"₹1,999",979.0,51%,1
"₹1,999",1099.0,45%,1
"₹1,999",1199.0,40%,1
"₹1,999",1439.0,28%,1
"₹1,999",1499.0,25%,1
